Job Title,Company Name,Location,Job Description,Job role,Education,Key Skill,Reviews,Applicants,Openings
"Manager - Agency management, Collection Field West",SBI Card,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Drive Portfolio Resolution by conversion of cheque pickupsresolutionNormRoll BackRecovery on field portfolio according to targets allocated to multiple agencies for their respective location    Timely identification and reporting of SkipsFraudRTPNonStarters for portfolio segmentation    Ensure ongoing review rhythm with stakeholders to identify opportunity areas    Timely review of vendors performance in respective location    Compliance   Ensure proper documentation of customer interactions and raise alarms appropriately as per compliance procedures    Ensure data security    Conduct SVCLEnsuring timely audit of vendor processes and documents for multiple agencies in respective location    Productivity   Monitor CAPE as per collection strategy    Operations compliance and Billing  Ensure Payment Logistics  TAT adherence proper handoff procedure for cash collection and payments reach operations    Ensuring timely raising of multi vendor billsprovisions for respective location    Field support along with FOS basis requirement on selective accounts    Perform due diligence on accounts for settlement and ensure wing to wing closure    People   Ensure motivation of Field Executives by imparting knowledge on card industry negotiate better escalate cases etc    Ensure location coverage as per SLA designed with stakeholders    Ensure regular interactive sessions conducted at all agencies for respective location    Track hiring ensuring timely certification of field executives as per process and defined timelines    Communication Skills    Resourcefulness    Vendor Management    Planning and Organising    Negotiation Skills    Computer skills with a strong knowledge of MS Office    Initiative taking and willingness to stretch    Working in teams    Graduate Degree Preferred    years of Field Collections Experience Experience in handling outsourced vendors would be an added advantage   Performance   Drive Portfolio Resolution by conversion of cheque pickups resolutionNormRoll BackRecovery on field portfolio according to targets allocated to multiple agencies for their respective location    Timely identification and reporting of SkipsFraudRTPNonStarters for portfolio segmentation    Ensure ongoing review rhythm with stakeholders to identify opportunity areas    Timely review of vendors performance in respective location    Compliance   Ensure proper documentation of customer interactions and raise alarms appropriately as per compliance procedures    Ensure data security    Conduct SVCLEnsuring timely audit of vendor processes and documents for multiple agencies in respective location    Productivity   Monitor CAPE as per collection strategy    Operations compliance and Billing  Ensure Payment Logistics  TAT adherence proper handoff procedure for cash collection and payments reach operations    Ensuring timely raising of multi vendor billsprovisions for respective location    Field support along with FOS basis requirement on selective accounts    Perform due diligence on accounts for settlement and ensure wing to wing closure    People   Ensure motivation of Field Executives by imparting knowledge on card industry negotiate better escalate cases etc    Ensure location coverage as per SLA designed with stakeholders    Ensure regular interactive sessions conducted at all agencies for respective location    Track hiring ensuring timely certification of field executives as per process and defined timelines,Role Collection  Recovery ManagerIndustry Type Education  TrainingDepartment BFSI Investments  TradingEmployment Type Full Time PermanentRole Category Lending,EducationUG Any GraduatePG Any Postgraduate,Key SkillsDue diligenceCash collectionCompliancedata securityBillingMS OfficeMonitoringAuditingLogistics,3.73504,482.0,1
Required MD / DNB- Emergency Medicine ( Minimum 2Years Exp) No MEM,Narayana Health NH,Kolkata BangaloreBengaluru,Narayana Hrudayalaya Hospital Group Indias leading healthcare provider invites dynamic and passionate doctors to join the Narayana Hrudayalaya Hospital GroupWe invite applications for the following positionsPosition Associate Consultant  Consultant Emergency Medicine Qualification MDDNB Emergency medicine NO MEM Qualified DoctorsLocation RTIICS  Kolkata  Bangalore  Doctors with a minimum of two years of relevant work experience in the emergency department would be preferredInterested doctors kindly contact Mr Raghavendra and forward updated resume toRaghavendrahnarayanahealthorgThanks  RegardsRaghavendra,Role Critical Care PhysicianIndustry Type Medical Services  HospitalDepartment Healthcare  Life SciencesEmployment Type Full Time PermanentRole Category Doctor,EducationPG MedicalMSMD in Emergency Medicine,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsDNB Emergency MedicineMD Emergency MedicinednbEmergency MedicineMD,4.21354,170.0,3
Graduate Engineer Trainee,Ericsson India Private Limited EIPL Employees choice,Kolkata Bengaluru Delhi  NCR,About this opportunityThe Graduate Engineer Trainee is part of Ericsson team supporting the customer service delivery and shall deliver services according to the contracted Services Level Agreements by means of established processes with understanding of Ericssons Products Solutions and ServicesThey will effectively undergo the mentoring program under designated experienced EngineersWhat you will doResponsible for performing analysis audit design and optimization of telecom networksWork independently and provide quality results as per project or service scopeWork with scopebased deliveries and processes automationSuggest resolution of technical problems within the domainChip in with innovative ideas and stimulate innovative thinking in the unit and identify prepare and implement basic automation to reduce repetitive  mundane tasksYou will bringUnderstanding of WirelessMobile Technologies like GGGGKnowledge of any highlevel programming languages like PythonExcellent Analytical  Troubleshooting skills solid understanding on MS Office ToolsPresentation skills oral and written and willingness to work in different time zones including Night ShiftsEducational QualificationsBEBTech In Computer ScienceElectronics  CommunicationTelecommunicationITMinimum  marks in th  th and above    CGPA in BEBTechWhy joins EricssonAt Ericsson youll have an outstanding opportunity The chance to use your skills and creativity to push the boundaries of whats possible To build never seen before solutions to some of the worlds toughest problems Youll be challenged but you wont be alone Youll be joining a team of diverse innovators all driven to go beyond the status quo to craft what comes nextWhat happens once you applyShortlisted candidates will be invited for an aptitude test the details of the same will be shared separatelyThe aptitude test will be followed by sequential round of technomanagerial assessment followed by HR InterviewPlease note  CTC to be offered is  LPAStudents only from B TechBE from Computer Science  EngineeringITElectronics  Communication are eligible to apply for same basis eligibility shared aboveEvaluations Test  Interviews will happen FF location for the same will be communicated to shortlisted candidates separatelyThe final selectedoffered candidates are expected to work from office in multiple shifts,Role Software Development  OtherIndustry Type Telecom  ISPDepartment Engineering  Software  QAEmployment Type Full Time PermanentRole Category Software Development,EducationUG BTechBE in ElectronicsTelecommunication Information Technology Computers,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsPythonPresentation Skills5G4GWireless Technologies3G2GMS Office,4.36525,14934.0,1
Financial Markets - Structured Finance - Associate,PwC Service Delivery Center,Kolkata HyderabadSecunderabad BangaloreBengaluru,As an Associate youll work as part of a team of problem solvers helping to solve complex business issues from strategy to execution PwC Professional skills and responsibilities for this management level include but are not limited to      Invite and give in the moment feedback in a constructive manner   Share and collaborate effectively with others   Identify and make suggestions for improvements when problems andor opportunities arise   Handle manipulate and analyse data and information responsibly   Follow risk management and compliance procedures   Keep uptodate with developments in area of specialism   Communicate confidently in a clear concise and articulate manner  verbally and in the materials I produce   Build and maintain an internal and external network   Seek opportunities to learn about how PwC works as a global network of firms   Uphold the firms code of ethics and business conduct              You will play an integral role in structured finance  securitisation services provided to PwC clients    Specific responsibilities include but are not limited to    Assisting during each phase of a securitisation transaction from loan file due diligence collateral and modelling services to postclosing comfort services and periodic reporting   Assisting in preparation of agreedupon procedures and compiling our findings in a report ready for closing   Creating independent financial models to project collateral and bond cashflows for various debt types and related securitizations including asset backed   securities mortgage backed securities and collateralized loan obligations   Investor reporting and ongoing deal management to provide comfort to Trustees  Bankers on the accuracy of ongoing reports provided to investors or sponsors   Performing valuation analysis of financial instruments and structured products    Building longterm client relationships through exceptional client service including a deep understanding of the client and their needs exceptional responsiveness and the delivery of the highest quality service and work product      Education  Experience        Qualified CPA CFA or a Masters degree in Finance       Minimum of  years of structured financerelated work experience including but not limited to Transaction  Financial modelling cash flow modelling  bond data investor reporting and ongoing deal management and Regulation AB,Role Analyst  Financial Planning  AnalysisIndustry Type Accounting  AuditingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Finance,EducationUG Any GraduatePG Any Postgraduate,Key SkillsValuation analysisStructured productsDue diligenceLeadership developmentFinancial reportingStructured financeCash flowManagementRisk managementAuditing,3.66791,1820.0,1
L&D Support Specialist - Associate,PwC Service Delivery Center,Kolkata HyderabadSecunderabad BangaloreBengaluru,A career in Learning and Development within Internal Firm Services will provide you with the opportunity to contribute to the success of our people by developing quality and relevant learning initiatives that constantly improve the PwC experience   Youll help us identify and source the best instructors develop learning and performance improvement solutions across traditional and virtual classroom environments and consult with other areas of the Firm to ensure our curriculums and initiatives support the PwC strategy   Our Digital Learning team supports internal leaders by developing and implementing targeted learning materials   As part of the team youll help develop Digital Learning materials multimedia classes and other interactive products that play an important role in the education of our people   As an Associate youll work as part of a team of problem solvers helping to solve complex business issues from strategy to execution     PwC Professional skills and responsibilities for this management level include but are not limited to       Invite and give in the moment feedback in a constructive manner   Share and collaborate effectively with others   Identify and make suggestions for improvements when problems andor opportunities arise   Handle manipulate and analyse data and information responsibly   Follow risk management and compliance procedures   Keep uptodate with developments in area of specialism   Communicate confidently in a clear concise and articulate manner  verbally and in the materials I produce   Build and maintain an internal and external network   Seek opportunities to learn about how PwC works as a global network of firms   Uphold the firms code of ethics and business conduct       Educationqualifications    Graduate and above Masters in EnglishCommunicative EnglishMass Communication or DiplomaDegree in Instructional Design preferred       Knowledge of tools     MS office suite G Suite Power BI Alteryx Workbench Metrics optional LMS optional       Industry experience      years   in mailbox and dashboard management experience in generating finance related and general report and LMS content management optional       Technical capability     Client communication SME interaction generating reports mailbox management       Key personal attribute   Open to learning new skills and tools awareness of the industry latest trends eye for details flexibility to adapt to new situations strong verbal and written communication skills       Activities to be performed        Research and analyze a learner issue based on an incident submitted and routed from other support teams within PwC       Synthesize information and communicate within the team and with learners on problem statements troubleshooting and resolution       Coordinate with other LD teams nonLD teams and stakeholders on research and root cause analysis       Identify trends of incidents       Participate in tools and technology projects where needed       Manage team mailboxes dashboard and team manuals       Generate regular reports       Managing LMSLearning Hub optional       Technical integration knowledge betw digital development tools and LMS through AICC and SCORM       Act to resolve issues which prevent the team working effectively       Coach others recognise their strengths and encourage them to take ownership of their personal development,Role IT Support  OtherIndustry Type Accounting  AuditingDepartment IT  Information SecurityEmployment Type Full Time PermanentRole Category IT Support,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMS Office suiteRoot cause analysisContent managementLeadership developmentManaged servicesLMSManagementTroubleshootingRisk managementPerformance improvement,3.66791,1354.0,1
ENGINEER - APP F/W&MW-LINUX,Sasken Technologies,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Person at this position is able to apply broad knowledge of their technical discipline or advanced knowledge of specific technical practices      Person identifies problems in existing systems and modifies it by following defined work procedures      Operationally oriented role responsible for achieving day to day defined tasks      Works under close supervision of Team Lead Project Manager       Roles Responsibilities      Responsible for design coding testing bug fixing documentation and technical support in the assigned area Responsible for on time delivery while adhering to quality and productivity goals    Responsible for adhering to guidelines and checklists for all deliverable reviews sending status report to team lead and following relevant organizational processes    Expected to enhance technical capabilities by attending trainings selfstudy and periodic technical assessments      Education and Experience Required      Engineering graduate MCA etc   Experience  years,Role OtherIndustry Type Engineering  ConstructionDepartment OtherEmployment Type Full Time PermanentRole Category Other,EducationUG Any GraduatePG MCA in Computers,Key SkillsC++LinuxGDBCodingEmbedded LinuxTelephonyDesign developmentManager TechnologyTechnical support,3.5382,3555.0,1
IETM Developer,Code  Pixels Interactive Technologies,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Demonstrable UI design skills with a strong portfolio    Proficiency in HTML HTML CSS CSS JQuery AJAX and JavaScript for rapid prototyping    UI should be in compliance to Accessibility and WC guidelines    Ability to multitask and needs to meet multiple deadlines across a variety of projects    Uptodate with the latest UI trends techniques and technologies    Experienced in creating custom icons in line with the concepts and Brand requirement    Good knowledge on UXUI Design Principles    Good understanding of frontend optimization techniques crossbrowser compatibility and Responsive web design    Ability to handle UI and Design issues with littleno assistance    Ability to work and thrive in a fastpaced environment learn rapidly and master diverse web technologies and techniques    Create user interface elements style guides and developerfriendly assets    Experienced in creating custom icons in line with the concepts and Brand requirement    Uptodate with the latest UI trends techniques and technologies    Ability to multitask and needs to meet multiple deadlines across a variety of projects      Role Business Development Executives Fulltime Consultant Skill Set    Lead generation    Cold calling    Market research    Good communicator with excellent telephone etiquette    Responsible for prospecting and opening new business opportunities and meeting sales goals established by the company    Understanding customer needs  budgets    Good Knowledge of MS office    Job Responsibilities    Conducting market research prospecting for target companies and contacts lead generation predefined identified sector    Creating a DB of report of target companies and contacts with relevant details    Deep Internet mining finding relevant contact person account mapping    Ability to obtain leads through the internet or other list generating opportunities that matches the current and future requirements    Manage sales pipeline    Getting referral  recurring businesses maintaining key account    Building client relationships    Achieving lead generation target    Generating new leads through extensive web research  internet marketingcold calling    Ability to develop and implement a lead generates and sales plan    Generate sales through referral partners,Role Full Stack DeveloperIndustry Type IT Services  ConsultingDepartment Engineering  Software  QAEmployment Type Full Time PermanentRole Category Software Development,EducationUG Any GraduatePG Any Postgraduate,Key SkillsCold callingMiningFront endJavascriptInternet marketingMarket researchWeb designingHTMLMS OfficeAjax,5.08,169.0,1
Social Media Marketing Intern,Appsierra Solutions,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Are available for the work from home jobinternship    Can join immediately    Are available for duration of  months    Have relevant skills and interests     Responsibilities     Writing clean concise copies and content for social media postspages    Making social media growth strategies according to the brands target audience    Researching for new growth avenues for the brands    Planning the social media calendar    Scaling the social media accounts such as Twitter Instagram LinkedIn and Facebook    Writing viral contentpost for LinkedIn profiles    Handling other digital marketing activities,Role Social Media MarketingIndustry Type IT Services  ConsultingDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Digital Marketing,EducationUG Any GraduatePG Any Postgraduate,Key SkillsSocial media marketingMarketing InternSocial mediaResearchDigital marketingInternship,4.6242,18.0,1
HR Recruiter,Mentorsity,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,The HR Recruiter plays a vital role in the organization by sourcing attracting and hiring top talent   They are responsible for managing the full recruitment cycle from identifying staffing needs to onboarding new hires   This role is crucial in ensuring that the organization has qualified individuals who align with its values and objectives     Key Responsibilities     Collaborate with hiring managers to understand staffing needs and develop recruitment strategies   Source and attract candidates through various channels including social media job boards and networking events   Screen resumes and conduct initial phone screens to assess candidate qualifications   Coordinate and schedule interviews with hiring managers   Conduct indepth interviews to evaluate candidate skills experience and cultural fit   Manage the offer process including negotiating salary and benefits packages   Collaborate with the HR team to ensure smooth onboarding for new hires   Utilize HRIS and ATS systems to track and manage candidate and employee data   Stay updated on labor legislation and industry trends to ensure compliance and best practices   Participate in employer branding initiatives to attract top talent   Contribute to the development of recruitment policies and procedures   Provide regular updates to hiring managers and key stakeholders on recruitment activities   Build and maintain a network of potential candidates through proactive outreach   Conduct exit interviews and analyze turnover trends to identify areas for improvement    Required Qualifications    Bachelors degree in Human Resources Business Administration or related field   Proven experience as an HR recruiter or similar role   Demonstrated knowledge of fullcycle recruiting processes and best practices   Proficiency in using applicant tracking systems ATS and other HR software   Excellent communication and interpersonal skills   Strong organizational and time management abilities   Ability to prioritize and manage multiple requisitions   Understanding of employment laws and regulations   Experience with behavioral interviewing techniques   Networking and relationshipbuilding skills   Ability to maintain confidentiality and exercise discretion   Strong negotiation and influencing skills   Proactive and resourceful approach to recruitment   High level of attention to detail   Certification in HR or recruitment is a plus,Role HR GeneralistIndustry Type ELearning  EdTechDepartment Human ResourcesEmployment Type Full Time PermanentRole Category HR Operations,EducationUG Any GraduatePG Any Postgraduate,Key SkillsBusiness administrationInterpersonal skillsNetworkingStaffingHRISTime managementRelationship buildingSocial mediaHRRecruitment,4.5119,85.0,1
Software Engineer I/II,Elitefitai,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,We are looking for a fullstack developer who is excited to work in a startup environment and build frontend web interfaces for desktops mobile at internet scale andor backend systems to support An ideal candidate will have handson experience in at least one framework to build web applications Knowledge of any of the latest frontend UX frameworks like Reactjs Vuejs and Web componentsis or backend systems like Nodejs Python will be an added plus         Who should apply        BSMS in Computer Science or a related technical field         years of software engineering and product delivery experience with excellent command over Data Structures and Algorithms Strong problem solving and analytical skills        Fullstack developer who is excited to work in a startup environment and build frontend web interfaces for desktops and mobile at internet scale        Handson experience in at least one framework to build web applications like reactjs vuejs        Good understanding of relational databases preferred  MySQL  PostgreSQL        Do code reviews and improve the quality of work within the team        Has created and designed systems from scratch        Able to thrive in a dynamic environment where goals and requirements may be changing        Good communication skills  You can communicate well in the English language with product managers your team members and external stakeholders to understand their needs and convey yours in a clear precise manner  verbally or in writing        Deadline oriented You understand that deadlines are meant to be met Challenges will surface obstacles and roadblocks will cause delays but you plan for them in advance and still ship your features on time to meet your commitments        Bias for action Your default setting is to take action and not wait for things to happen        You love to learn about new technologies and advancements in the software industry         Responsibilities        Design develop test and deploy scalable web applications and services which deliver expected performance and scale        Obsession about the impact on customer experience        Identify potential malfunctions and recommend improvements        Collaborate with the data sciences team to deploy the latest AI models to production        Contribute to over efficacy of engineering fundamental tools and frameworks that improve developer agility and efficiency        Communicate with technical and nontechnical peers         Good to have         Knowledge of any of the latest frontend UX frameworks like Reactjs Vuejs and backend systems like Nodejs        Handson experience with Continuous Delivery and DevOps automation        Polyglot engineer having experience in more than one programming language preferably one of Python or Kotlin        Good knowledge of distributed technologies real time systems of high throughput low latency and highly scalable systems,Role Blockchain Quality Assurance EngineerIndustry Type InternetDepartment Engineering  Software  QAEmployment Type Full Time PermanentRole Category Quality Assurance and Testing,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComputer scienceAutomationBackendFront endWeb technologiesPostgresqlMySQLJavascriptData structuresPython,,5415.0,1
