Job Title,Company Name,Location,Job Description,Job Openings,Job role,Education,Key Skill
"Manager - Agency management, Collection Field West",['SBI Card3.73504 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  Drive Portfolio Resolution by conversion of cheque pick-ups,resolution/Norm/Roll Back/Recovery on field portfolio according to targets allocated to multiple agencies for their respective location.    Timely identification and reporting of Skips/Fraud/RTP/Non-Starters for portfolio segmentation.    Ensure ongoing review rhythm with stakeholders to identify opportunity areas.    Timely review of vendors performance in respective location.    Compliance   Ensure proper documentation of customer interactions and raise alarms appropriately as per compliance procedures.    Ensure data security.    Conduct SVCL-Ensuring timely audit of vendor processes and documents for multiple agencies in respective location    Productivity   Monitor CAPE as per collection strategy.    Operations, compliance and Billing - Ensure Payment Logistics - TAT adherence, proper hand-off procedure for cash collection and payments reach operations    Ensuring timely raising of multi vendor bills/provisions for respective location    Field support along with FOS basis requirement on selective accounts    Perform due diligence on accounts for settlement and ensure wing to wing closure.    People   Ensure motivation of Field Executives by imparting knowledge on card industry, negotiate better, escalate cases etc.    Ensure location coverage as per SLA designed with stakeholders.    Ensure regular interactive sessions conducted at all agencies for respective location    Track hiring, ensuring timely certification of field executives as per process and defined timelines.   - Communication Skills   - Resourcefulness   - Vendor Management   - Planning and Organising   - Negotiation Skills   - Computer skills with a strong knowledge of MS Office.   - Initiative taking and willingness to stretch   - Working in teams    Graduate Degree Preferred 0 - 4 years of Field Collections Experience. Experience in handling outsourced vendors would be an added advantage.   Performance   Drive Portfolio Resolution by conversion of cheque pick-ups, resolution/Norm/Roll Back/Recovery on field portfolio according to targets allocated to multiple agencies for their respective location.    Timely identification and reporting of Skips/Fraud/RTP/Non-Starters for portfolio segmentation.    Ensure ongoing review rhythm with stakeholders to identify opportunity areas.    Timely review of vendors performance in respective location.    Compliance   Ensure proper documentation of customer interactions and raise alarms appropriately as per compliance procedures.    Ensure data security.    Conduct SVCL-Ensuring timely audit of vendor processes and documents for multiple agencies in respective location    Productivity   Monitor CAPE as per collection strategy.    Operations, compliance and Billing - Ensure Payment Logistics - TAT adherence, proper hand-off procedure for cash collection and payments reach operations    Ensuring timely raising of multi vendor bills/provisions for respective location    Field support along with FOS basis requirement on selective accounts    Perform due diligence on accounts for settlement and ensure wing to wing closure.    People   Ensure motivation of Field Executives by imparting knowledge on card industry, negotiate better, escalate cases etc.    Ensure location coverage as per SLA designed with stakeholders.    Ensure regular interactive sessions conducted at all agencies for respective location    Track hiring, ensuring timely certification of field executives as per process and defined timelines.  ']",['Posted: 14 days agoOpenings: 1Applicants: 482'],"['Role: Collection / Recovery Manager,Industry Type: Education / Training,Department: BFSI, Investments & Trading,Employment Type: Full Time, PermanentRole Category: Lending']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsDue diligenceCash collectionCompliancedata securityBillingMS OfficeMonitoringAuditingLogistics']
Required MD / DNB- Emergency Medicine ( Minimum 2Years Exp) No MEM,['Narayana Health (NH)4.21354 Reviews'],"['Kolkata, Bangalore/Bengaluru']","[""Narayana Hrudayalaya Hospital Group, India's leading healthcare provider, invites dynamic and passionate doctors to join the Narayana Hrudayalaya Hospital Group.We invite applications for the following positions:Position: Associate Consultant / Consultant- Emergency Medicine Qualification: MD/DNB, Emergency medicine (NO MEM Qualified Doctors)Location: RTIICS - Kolkata, & Bangalore  Doctors with a minimum of two years of relevant work experience in the emergency department would be preferred.Interested doctors kindly contact Mr Raghavendra and forward updated resume toRaghavendra.h01@narayanahealth.orgThanks & RegardsRaghavendra+919513314873""]",['Posted: 12 days agoOpenings: 3Applicants: 170'],"['Role: Critical Care Physician,Industry Type: Medical Services / Hospital,Department: Healthcare & Life Sciences,Employment Type: Full Time, PermanentRole Category: Doctor']",['EducationPG: Medical-MS/MD in Emergency Medicine'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsDNB Emergency MedicineMD Emergency MedicinednbEmergency MedicineMD']
Graduate Engineer Trainee,"[""Ericsson India Private Limited (EIPL)4.36525 ReviewsEmployees' choice""]","['Kolkata, Bengaluru, Delhi / NCR']","[' About this opportunityThe Graduate Engineer Trainee is part of Ericsson team supporting the customer service delivery and shall deliver services according to the contracted Services Level Agreements by means of established processes with understanding of Ericssons Products, Solutions and Services.They will effectively undergo the mentoring program under designated experienced Engineers!What you will doResponsible for performing analysis, audit, design, and optimization of telecom networks.Work independently and provide quality results as per project or service scope.Work with scope-based deliveries and processes automation!Suggest resolution of technical problems within the domain.Chip in with innovative ideas and stimulate innovative thinking in the unit and identify, prepare, and implement basic automation to reduce repetitive & mundane tasks.You will bringUnderstanding of Wireless/Mobile Technologies like 2G/3G/4G/5GKnowledge of any high-level programming languages like Python.Excellent Analytical & Troubleshooting skills, solid understanding on MS Office ToolsPresentation skills (oral and written) and willingness to work in different time zones including Night Shifts.Educational QualificationsB.E/B.Tech. In Computer Science/Electronics & Communication/Telecommunication/IT.Minimum 65% marks in 10th & 12th and above 65% / 6.5 CGPA in B.E/B.Tech.Why joins EricssonAt Ericsson, youll have an outstanding opportunity. The chance to use your skills and creativity to push the boundaries of whats possible. To build never seen before solutions to some of the worlds toughest problems. Youll be challenged, but you wont be alone. Youll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.What happens once you apply?Shortlisted candidates will be invited for an aptitude test, the details of the same will be shared separately.The aptitude test will be followed by sequential round of techno-managerial assessment followed by HR Interview.Please note :- CTC to be offered is 7.15 LPAStudents only from B Tech/B.E from Computer Science & Engineering/IT/Electronics & Communication are eligible to apply for same basis eligibility shared above.Evaluations (Test & Interviews) will happen F2F, location for the same will be communicated to shortlisted candidates separately.The final selected/offered candidates are expected to work from office in multiple shifts.']",['Posted: 14 days agoOpenings: 1Applicants: 14934'],"['Role: Software Development - Other,Industry Type: Telecom / ISP,Department: Engineering - Software & QA,Employment Type: Full Time, PermanentRole Category: Software Development']","['EducationUG: B.Tech/B.E. in Electronics/Telecommunication, Information Technology, Computers']",['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsPythonPresentation Skills5G4GWireless Technologies3G2GMS Office']
Financial Markets - Structured Finance - Associate,['PwC Service Delivery Center3.66791 Reviews'],"['Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru']","['   As an Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:      Invite and give in the moment feedback in a constructive manner.   Share and collaborate effectively with others.   Identify and make suggestions for improvements when problems and/or opportunities arise.   Handle, manipulate and analyse data and information responsibly.   Follow risk management and compliance procedures.   Keep up-to-date with developments in area of specialism.   Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.   Build and maintain an internal and external network.   Seek opportunities to learn about how PwC works as a global network of firms.   Uphold the firms code of ethics and business conduct.              You will play an integral role in structured finance / securitisation services provided to PwC clients    Specific responsibilities include but are not limited to:    Assisting during each phase of a securitisation transaction, from loan file due diligence, collateral and modelling services to post-closing, comfort services and periodic reporting;   Assisting in preparation of agreed-upon procedures and compiling our findings in a report ready for closing;   Creating independent financial models to project collateral and bond cash-flows for various debt types and related securitizations, including asset backed   securities, mortgage backed securities, and collateralized loan obligations;   Investor reporting and ongoing deal management to provide comfort to Trustees / Bankers on the accuracy of ongoing reports provided to investors or sponsors;   Performing valuation analysis of financial instruments and structured products;    Building long-term client relationships through exceptional client service including a deep understanding of the client and their needs, exceptional responsiveness, and the delivery of the highest quality service and work product      Education & Experience        Qualified CPA, CFA or a Masters degree in Finance;       Minimum of 0-2 years of structured finance-related work experience including but not limited to Transaction & Financial modelling, cash flow modelling & bond data, investor reporting and ongoing deal management and Regulation AB;  ']",['Posted: 30+ days agoOpenings: 1Applicants: 1820'],"['Role: Analyst - Financial Planning & Analysis,Industry Type: Accounting / Auditing,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Finance']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsValuation analysisStructured productsDue diligenceLeadership developmentFinancial reportingStructured financeCash flowManagementRisk managementAuditing']
L&D Support Specialist - Associate,['PwC Service Delivery Center3.66791 Reviews'],"['Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru']","[""  A career in Learning and Development, within Internal Firm Services, will provide you with the opportunity to contribute to the success of our people by developing quality and relevant learning initiatives that constantly improve the PwC experience   You'll help us identify and source the best instructors, develop learning and performance improvement solutions across traditional and virtual classroom environments, and consult with other areas of the Firm to ensure our curriculums and initiatives support the PwC strategy   Our Digital Learning team supports internal leaders by developing and implementing targeted learning materials   As part of the team, you'll help develop Digital Learning materials, multimedia classes and other interactive products that play an important role in the education of our people   As an Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution     PwC Professional skills and responsibilities for this management level include but are not limited to:       Invite and give in the moment feedback in a constructive manner.   Share and collaborate effectively with others.   Identify and make suggestions for improvements when problems and/or opportunities arise.   Handle, manipulate and analyse data and information responsibly.   Follow risk management and compliance procedures.   Keep up-to-date with developments in area of specialism.   Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.   Build and maintain an internal and external network.   Seek opportunities to learn about how PwC works as a global network of firms.   Uphold the firms code of ethics and business conduct.       Education/qualifications:    Graduate and above (Masters in English/Communicative English/Mass Communication or Diploma/Degree in Instructional Design preferred)       Knowledge of tools  :   MS office suite, G Suite, Power BI, Alteryx, Workbench, Metrics (optional), LMS (optional)       Industry experience  :   0-4 years   in mailbox and dashboard management, experience in generating finance related and general report and LMS content management (optional)       Technical capability  :   Client communication, SME interaction, generating reports, mailbox management       Key personal attribute:   Open to learning new skills and tools, awareness of the industry latest trends, eye for details, flexibility to adapt to new situations, strong verbal and written communication skills       Activities to be performed :       Research and analyze a learner issue based on an incident submitted and routed from other support teams within PwC       Synthesize information and communicate within the team and with learners on problem statements, troubleshooting, and resolution       Coordinate with other L&D teams, non-L&D teams, and stakeholders on research and root cause analysis       Identify trends of incidents       Participate in tools and technology projects where needed       Manage team mailboxes, dashboard and team manuals       Generate regular reports       Managing LMS/Learning Hub (optional)       Technical integration knowledge betw/ digital development tools and LMS through AICC and SCORM       Act to resolve issues which prevent the team working effectively.       Coach others, recognise their strengths, and encourage them to take ownership of their personal development    ""]",['Posted: 30+ days agoOpenings: 1Applicants: 1354'],"['Role: IT Support - Other,Industry Type: Accounting / Auditing,Department: IT & Information Security,Employment Type: Full Time, PermanentRole Category: IT Support']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMS Office suiteRoot cause analysisContent managementLeadership developmentManaged servicesLMSManagementTroubleshootingRisk managementPerformance improvement']
ENGINEER - APP F/W&MW-LINUX,['Sasken Technologies3.5382 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['    Person at this position is able to apply broad knowledge of their technical discipline or advanced knowledge of specific technical practices.      Person identifies problems in existing systems and modifies it by following defined work procedures.      Operationally oriented role responsible for achieving day to day defined tasks.      Works under close supervision of Team Lead/ Project Manager.       Roles Responsibilities      Responsible for design, coding, testing, bug fixing, documentation and technical support in the assigned area. Responsible for on time delivery while adhering to quality and productivity goals.    Responsible for adhering to guidelines and checklists for all deliverable reviews, sending status report to team lead and following relevant organizational processes.    Expected to enhance technical capabilities by attending trainings, self-study and periodic technical assessments.      Education and Experience Required      Engineering graduate, MCA, etc   Experience: 0-2 years    ']",['Posted: 30+ days agoOpenings: 1Applicants: 3555'],"['Role: Other,Industry Type: Engineering & Construction,Department: Other,Employment Type: Full Time, PermanentRole Category: Other']",['EducationUG: Any GraduatePG: MCA in Computers'],['Key SkillsC++LinuxGDBCodingEmbedded LinuxTelephonyDesign developmentManager TechnologyTechnical support']
IETM Developer,['Code & Pixels Interactive Technologies5.08 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['    Demonstrable UI design skills with a strong portfolio.    Proficiency in HTML, HTML5, CSS, CSS3, JQuery, AJAX and JavaScript for rapid prototyping.    UI should be in compliance to Accessibility and W3C guidelines.    Ability to multi-task and needs to meet multiple deadlines across a variety of projects.    Up-to-date with the latest UI trends, techniques, and technologies.    Experienced in creating custom icons in line with the concepts and Brand requirement.    Good knowledge on UX/UI Design Principles.    Good understanding of front-end optimization techniques, cross-browser compatibility and Responsive web design.    Ability to handle UI and Design issues with little/no assistance.    Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.    Create user interface elements, style guides, and developer-friendly assets.    Experienced in creating custom icons in line with the concepts and Brand requirement.    Up-to-date with the latest UI trends, techniques, and technologies.    Ability to multi-task and needs to meet multiple deadlines across a variety of projects.      Role: Business Development Executives (Fulltime/ Consultant) Skill Set    Lead generation    Cold calling    Market research    Good communicator with excellent telephone etiquette.    Responsible for prospecting and opening new business opportunities and meeting sales goals established by the company    Understanding customer needs & budgets.    Good Knowledge of MS office    Job Responsibilities    Conducting market research, prospecting for target companies and contacts, lead generation, predefined/ identified sector    Creating a DB of report of target companies and contacts with relevant details    Deep Internet mining, finding relevant contact person, account mapping    Ability to obtain leads through the internet or other list generating opportunities that matches the current and future requirements.    Manage sales pipeline    Getting referral & recurring businesses /maintaining key account    Building client relationships    Achieving lead generation target.    Generating new leads through extensive web research & internet marketing/cold calling    Ability to develop and implement a lead generates and sales plan.    Generate sales through referral partners.   ']",['Posted: 1 day agoOpenings: 1Applicants: 169'],"['Role: Full Stack Developer,Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,Employment Type: Full Time, PermanentRole Category: Software Development']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsCold callingMiningFront endJavascriptInternet marketingMarket researchWeb designingHTMLMS OfficeAjax']
Social Media Marketing Intern,['Appsierra Solutions4.6242 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  Are available for the work from home job/internship.    Can join immediately    Are available for duration of 6 months.    Have relevant skills and interests     Responsibilities:     Writing clean, concise copies and content for social media posts/pages    Making social media growth strategies according to the brands target audience    Researching for new growth avenues for the brands    Planning the social media calendar    Scaling the social media accounts such as Twitter, Instagram, LinkedIn, and Facebook    Writing viral content/post for LinkedIn profiles    Handling other digital marketing activities   ']",['Posted: 1 day agoOpenings: 1Applicants: 18'],"['Role: Social Media Marketing,Industry Type: IT Services & Consulting,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Digital Marketing']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsSocial media marketingMarketing InternSocial mediaResearchDigital marketingInternship']
HR Recruiter,['Mentorsity4.5119 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['   The HR Recruiter plays a vital role in the organization by sourcing, attracting, and hiring top talent   They are responsible for managing the full recruitment cycle, from identifying staffing needs to onboarding new hires   This role is crucial in ensuring that the organization has qualified individuals who align with its values and objectives     Key Responsibilities:     Collaborate with hiring managers to understand staffing needs and develop recruitment strategies   Source and attract candidates through various channels, including social media, job boards, and networking events   Screen resumes and conduct initial phone screens to assess candidate qualifications   Coordinate and schedule interviews with hiring managers   Conduct in-depth interviews to evaluate candidate skills, experience, and cultural fit   Manage the offer process, including negotiating salary and benefits packages   Collaborate with the HR team to ensure smooth onboarding for new hires   Utilize HRIS and ATS systems to track and manage candidate and employee data   Stay updated on labor legislation and industry trends to ensure compliance and best practices   Participate in employer branding initiatives to attract top talent   Contribute to the development of recruitment policies and procedures   Provide regular updates to hiring managers and key stakeholders on recruitment activities   Build and maintain a network of potential candidates through proactive outreach   Conduct exit interviews and analyze turnover trends to identify areas for improvement    Required Qualifications:    Bachelors degree in Human Resources, Business Administration, or related field   Proven experience as an HR recruiter or similar role   Demonstrated knowledge of full-cycle recruiting processes and best practices   Proficiency in using applicant tracking systems (ATS) and other HR software   Excellent communication and interpersonal skills   Strong organizational and time management abilities   Ability to prioritize and manage multiple requisitions   Understanding of employment laws and regulations   Experience with behavioral interviewing techniques   Networking and relationship-building skills   Ability to maintain confidentiality and exercise discretion   Strong negotiation and influencing skills   Proactive and resourceful approach to recruitment   High level of attention to detail   Certification in HR or recruitment is a plus   ']",['Posted: 1 day agoOpenings: 1Applicants: 85'],"['Role: HR Generalist,Industry Type: E-Learning / EdTech,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: HR Operations']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsBusiness administrationInterpersonal skillsNetworkingStaffingHRISTime managementRelationship buildingSocial mediaHRRecruitment']
Software Engineer I/II,['Elitefit.ai'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['      We are looking for a full-stack developer, who is excited to work in a start-up environment, and build front-end web interfaces for desktops, mobile at internet scale and/or backend systems to support. An ideal candidate will have hands-on experience in at least one framework to build web applications. Knowledge of any of the latest frontend UX frameworks like React.js, Vue.js and Web components.is or backend systems like Node.js, Python will be an added plus.         Who should apply        BS/MS in Computer Science or a related technical field        0-3 years of software engineering and product delivery experience with excellent command over Data Structures and Algorithms. Strong problem solving and analytical skills.        Full-stack developer, who is excited to work in a start-up environment, and build front-end web interfaces for desktops and mobile at internet scale.        Hands-on experience in at least one framework to build web applications like react.js, vue.js        Good understanding of relational databases (preferred - MySQL / PostgreSQL)        Do code reviews and improve the quality of work within the team        Has created and designed systems from scratch.        Able to thrive in a dynamic environment where goals and requirements may be changing        Good communication skills - You can communicate well in the English language with product managers, your team members, and external stakeholders, to understand their needs and convey yours, in a clear, precise manner - verbally, or in writing.        Deadline oriented. You understand that deadlines are meant to be met. Challenges will surface, obstacles and roadblocks will cause delays, but you plan for them in advance and still ship your features on time to meet your commitments.        Bias for action. Your default setting is to take action, and not wait for things to happen.        You love to learn about new technologies and advancements in the software industry.         Responsibilities        Design, develop, test and deploy scalable web applications and services which deliver expected performance and scale.        Obsession about the impact on customer experience.        Identify potential malfunctions and recommend improvements.        Collaborate with the data sciences team to deploy the latest AI models to production.        Contribute to over efficacy of engineering fundamental tools and frameworks that improve developer agility and efficiency.        Communicate with technical and non-technical peers.         Good to have         Knowledge of any of the latest frontend UX frameworks like React.js, Vue.js and backend systems like Node.js        Hands-on experience with Continuous Delivery and DevOps automation        Polyglot engineer, having experience in more than one programming language preferably one of Python or Kotlin        Good knowledge of distributed technologies, real time systems of high throughput, low latency and highly scalable systems       ']",['Posted: 1 day agoOpenings: 1Applicants: 5415'],"['Role: Blockchain Quality Assurance Engineer,Industry Type: Internet,Department: Engineering - Software & QA,Employment Type: Full Time, PermanentRole Category: Quality Assurance and Testing']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComputer scienceAutomationBackendFront endWeb technologiesPostgresqlMySQLJavascriptData structuresPython']
